1,Aínsa,42.41547,0.14008
2,Ababuj,40.54908,-0.80758
3,Abanto,41.13751,-1.69818
4,Abiego,42.12094,-0.06873
5,Abizanda,42.24236,0.19717
6,Adahuesca,42.1461,-0.00804
7,Agón,41.85574,-1.45233
8,Agüero,42.35505,-0.79324
9,Aguarón,41.33901,-1.27055
10,Aguatón,40.67158,-1.23475
11,Aguaviva,40.82211,-0.19532
12,Aguilar del Alfambra,40.59027,-0.79589
13,Aguilón,41.29467,-1.04634
14,Ainzón,41.81644,-1.51995
15,Alacón,41.02575,-0.69782
16,Aladrén,41.24917,-1.15591
17,Alagón,41.76964,-1.11906
18,Alarba,41.20482,-1.61335
19,Alba,40.61825,-1.34658
20,Albalate de Cinca,41.72521,0.15244
21,Albalate del Arzobispo,41.12173,-0.51142
22,Albalatillo,41.73527,-0.15115
23,Albarracín,40.40818,-1.44375
24,Albelda,41.86542,0.45999
25,Alberite de San Juan,41.82009,-1.47063
26,Albero Alto,42.05031,-0.3371
27,Albero Bajo,42.0238,-0.38018
28,Alberuela de Tubo,41.90846,-0.21418
29,Albeta,41.82636,-1.49936
30,Alborge,41.33367,-0.35675
31,Alcañiz,41.05,-0.13333
32,Alcaine,40.95341,-0.70583
33,Alcalá de Ebro,41.81495,-1.19429
34,Alcalá de Gurrea,42.06653,-0.68534
35,Alcalá de la Selva,40.37183,-0.72015
36,Alcalá de Moncayo,41.7861,-1.69544
37,Alcalá del Obispo,42.0773,-0.2912
38,Alcolea de Cinca,41.71944,0.11716
39,Alconchel de Ariza,41.20428,-2.12191
40,Alcorisa,40.8921,-0.38143
41,Alcubierre,41.80757,-0.45291
42,Aldehuela de Liestos,41.0641,-1.70107
43,Alerre,42.16468,-0.46369
44,Alfajarín,41.614,-0.7037
45,Alfamén,41.43919,-1.24458
46,Alfambra,40.54638,-1.03314
47,Alfántega,41.82832,0.14823
48,Alforque,41.32942,-0.38525
49,Alhama de Aragón,41.29657,-1.89358
50,Aliaga,40.67411,-0.70333
51,Allepuz,40.49295,-0.72478
52,Alloza,40.96942,-0.52941
53,Allueva,40.98533,-1.04258
54,Almochuel,41.27992,-0.55067
55,Almohaja,40.60489,-1.438
56,Almonacid de la Cuba,41.28067,-0.79266
57,Almonacid de la Sierra,41.39754,-1.32394
58,Almozara,41.66124,-0.90169
59,Almudévar,42.04255,-0.58141
60,Almuniente,41.94949,-0.41173
61,Alobras,40.18169,-1.38731
62,Alpartir,41.42253,-1.38061
63,Alpeñés,40.79958,-1.06625
64,Alquézar,42.17268,0.02586
65,Ambel,41.79472,-1.6152
66,Anadón,40.98225,-0.98367
67,Andorra,40.97655,-0.44721
68,Anento,41.06958,-1.33375
69,Angüés,42.11109,-0.15298
70,Ansó,42.75785,-0.82947
71,Antillón,42.03639,-0.16239
72,Aragüés del Puerto,42.70641,-0.66999
73,Aranda de Moncayo,41.57749,-1.79171
74,Arándiga,41.50872,-1.50074
75,Arcos de las Salinas,39.98333,-1.03333
76,Arenys de Lledó / Arens de Lledó,40.99244,0.27092
77,Argavieso,42.05275,-0.27834
78,Argente,40.68841,-1.16217
79,Arguis,42.31476,-0.43967
80,Ariño,41.03019,-0.59206
81,Ariza,41.31442,-2.05332
82,Artieda,42.58538,-0.98422
83,Atea,41.16059,-1.55533
84,Ateca,41.33092,-1.79353
85,Ayerbe,42.27267,-0.68844
86,Azara,42.07033,-0.02921
87,Azlor,42.09427,-0.04594
88,Azuara,41.25822,-0.87078
89,Épila,41.60045,-1.28007
90,Bañón,40.83825,-1.19091
91,Badules,41.13901,-1.25366
92,Baells,41.95325,0.45956
93,Bagüés,42.54935,-0.94577
94,Bailo,42.50906,-0.81136
95,Balconchán,41.08737,-1.45998
96,Ballobar,41.62106,0.192
97,Banastás,42.18089,-0.45191
98,Barbastro,42.03565,0.12686
99,Barbués,41.98085,-0.41949
100,Barbuñales,42.02563,-0.08659
101,Bardallur,41.68423,-1.21183
102,Barrachina,40.89688,-1.13858
103,Bádenas,41.09216,-1.12241
104,Báguena,41.04181,-1.35767
105,Bárboles,41.70898,-1.18594
106,Bárcabo,42.24219,0.06934
107,Bea,41.03633,-1.14725
108,Belchite,41.306,-0.754
109,Bello,40.92266,-1.4985
110,Belver de Cinca,41.69272,0.17827
111,Benasque,42.60528,0.52305
112,Benavarri / Benabarre,42.10586,0.48211
113,Berbegal,41.95959,-0.00326
114,Berdejo,41.56133,-1.94431
115,Berge,40.85791,-0.42709
116,Bezas,40.33076,-1.32511
117,Biel,42.38763,-0.94154
118,Bielsa,42.63347,0.21858
119,Bierge,42.16216,-0.08326
120,Bijuesca,41.54083,-1.92039
121,Binaced,41.82564,0.20084
122,Binéfar,41.85141,0.29433
123,Biota,42.26214,-1.18735
124,Bisaurri,42.49677,0.50647
125,Biscarrués,42.22867,-0.74967
126,Bisimbre,41.85607,-1.44268
127,Blancas,40.81392,-1.48208
128,Blesa,41.0515,-0.885
129,Boltaña,42.4455,0.06802
130,Bonansa,42.42691,0.66692
131,Boquiñeni,41.84804,-1.25246
132,Borau,42.65858,-0.58846
133,Bordalba,41.41667,-2.06667
134,Bordón,40.6865,-0.32216
135,Borja,41.83412,-1.53271
136,Botorrita,41.50706,-1.03104
137,Brea de Aragón,41.52387,-1.60261
138,Bronchales,40.51171,-1.58821
139,Broto,42.60434,-0.12351
140,Bubierca,41.31482,-1.85386
141,Bueña,40.70881,-1.26742
142,Bujaraloz,41.49806,-0.1529
143,Bulbuente,41.8197,-1.60238
144,Burbáguena,41.01783,-1.33825
145,Bureta,41.81572,-1.48819
146,Cañada de Benatanduz,40.57934,-0.53682
147,Cañada Vellida,40.70811,-0.91489
148,Cañizar del Olivar,40.81622,-0.64567
149,Cabañas de Ebro,41.8,-1.2
150,Cabolafuente,41.21053,-2.04133
151,Cabra de Mora,40.31696,-0.80678
152,Cadrete,41.55575,-0.96013
153,Calaceite,41.01625,0.18876
154,Calamocha,40.91933,-1.2975
155,Calanda,40.94153,-0.23243
156,Calatayud,41.35353,-1.64318
157,Calatorao,41.52228,-1.34702
158,Calcena,41.65515,-1.71764
159,Calmarza,41.1581,-1.91196
160,Calomarde,40.37264,-1.57435
161,Camañas,40.64308,-1.13752
162,Camarena de la Sierra,40.15,-1.03333
163,Camarillas,40.61242,-0.75416
164,Caminreal,40.83883,-1.32416
165,Campillo de Aragón,41.12648,-1.84393
166,Camporrells,41.95856,0.52136
167,Candasnos,41.50213,0.06425
168,Canfranc,42.71628,-0.52563
169,Cantavieja,40.52642,-0.40558
170,Capdesaso,41.84287,-0.18316
171,Capella,42.19635,0.39637
172,Carenas,41.27755,-1.79754
